OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,favoritePartDestinationKentState,anyAdditionalComments
"To improve the online placement assessment experience for future students, I think that there should be an improvement of the graphing data system on mobile devices since it was difficult to move the cursor or even plot points on the graph(x, y) sometimes.",,,I think the students should a round circle to make it easier for students to get to know each other.,Money Matters,"My favorite part of Destination Kent State experience was the opportunity to take the tour downtown of Kent, Ohio.",
No,,,Getting to know the student,,I really liked getting to know the flash guides and learning about there experiences at Kent ,
,,,,,"My favorite oart were the break out sessions, especially the technology one",
"Make sure that other kids realize that before they attend DKS, they should go ahead and take the tests (dumb answer, but yeah).","No negative feedback for me! The CAS advising group was phenomenal! They listened to whatever bulls*it I had to say, ask, or the like, and did whatever they could to make me feel satisfied.",,"Nothing. I was eager to meet others, and did just that.","There isn’t any that I can’t think of. Looking back, it was all looked upon as thoroughly as possible. ","The best part was the Flashguides and social activities. It was so much fun, interactive, hyped up, and definitely the things that I’ll remember most about DKS; even after graduating.",
,,,,,,
,,,,,,
,,,,,,
,Very helpful in answering my questions and helping me put together a good schedule.,,Activities that integrated students even when they’re parents are with them.,,,
,,,,,,
No.,,,If I talked more.,,,
,,,,,,
,,,,,,
,,,,,,
,,,,Safety,Interacting with other incoming students & being educated on important parts of the Kent experience .,
,,,Ice breakers,,,
,I love my advisor and how he showed me the ups and downs of college,I liked how they were honest and how I felt that I had somewhat support ,If people would actually talk to me and not ignore and seem irritated when talked to ,Flashguides needs to be more professional and kind ,I love making my schedule and learning all about my class and finally starting my process as a college student ,"Most of the flashguides were rude to me they ignored me or they seemed to be irritated because I didn’t follow a Instagram page please work on who you hire as flashguides this experience with them actually is making second guess kent state,"
,,,More people actually talking to me as much as they did   with everyone else.,,I had no favorite part. ,
,,,,Getting a better feel for the campus.,,
Take it earlier rather than later,It was planned out very well,It was very good,Same college,I don't think so,Meeting people in our college's,
,,,,,,
,,,,,,
,"My advisor, Laura, was very nice and helpful when it came to scheduling classes I found an interest in. She was also helped me feel very comfortable by trying to know me better. ",,I just have to feel comfortable in a place before putting myself out there. If I had more time I could of meet more people I feel. ,There should be a campus tour option. Also more obvious options of things to do night one for people who aren’t into party type events. ,Getting to know some of the flash guides and hear their stories was nice. My advising appointment was also very good. ,
N/A,,,,,My rooming experience at dks was a lot better than I expected it to be. But other than that I had a good time playing volleyball and listening to music late at night at the end of day one ,
"I sort-of got lost in the webpage before taking the exam... bear in mind, this is from a guy who builds/repairs/sets-up computers for a living.  I am not sure what caused it, but somehow, somewhere, something on the testing website mislead me.  I cannot provide specifics ... so my feedback is most likely useless.  UNLESS I add this to it:    I only had to take the Math placement (both Flashline & ALEKS reported this).  Completed it a week before my DKS.  I get to DKS, and I spend 1/2 an hour debating with an adviser (I think) why I did NOT have to take the foreign language placement, including pulling up Flashline & my HS transcript.  It eventually ended with me successfully showing why I had no need to take it, but in this whole process, I missed a meeting time-slot I would have liked to get to that day.    PLEASE, check software/people about this, as I am sure I was not the only one who had this issue whilst attending DKS this Summer, 2019.  Thank you in advance, and God bless!","Not much else to add.  It went smoothly; I met with 4 advisers in total while at DKS, and all 4 were extremely helpful  in contacting other advisers about questions they could not CONFIDENTLY answer.  I like that - willing to rely on other's knowledge to get the best answer(s) possible...    Very satisfied.  Had no issues getting all my courses to line up with each other. ",,"More major-specific get-togethers.  After the ONE small table group discussion during our major-specific timeslot, I... pretty much connected with nobody else.  It's partially my fault; I am an introvert.  But the social events, including the dance + 10th floor of Wright Hall, were quite successful.  I met 2 African-American siblings/cousins (unsure which), and they were really nice & willing to talk with me.  Turns out, they are living on campus whilst I am commuting, however we all exchanged social media contact information.","Communities.  And Organizations.  I learned more about them from Flashguides than from Formal presentations, regardless of Kent State's intentions with going about explaining these unique student-led bodies.  If slightly more emphases were placed on informing new students of where to find Organizations (perhaps even give incoming DKS students a list of current-year Student Organizations), it would help freshman connect easier.","The food.  Yes, it was delicious!    On a more serious note, I really liked the tours & activities done with the Flashguides.  Although the informative sessions completely accomplished their purposes, and I felt much more calm after absorbing everything, the student-led, student-focused time-slots were my favorite.  Especially in the evening/night, where I could venture out and... process everything from the day.  That allowed me to ""gather my thoughts"" & prepare myself for the next day, including my advising appointment the following morning.",
,,,,,,
no,,,,,,
No,,,Good conversation skills,Add onto Day 2 because I feel like we were just thrown in the trash as soon as the new DKS students came in. They would not even serve us food anymore when it’s an overnight trip for 26 & 27 but as soon as the 27th came it was done for us. That is corny.,I liked the Flashguides.,Eastway food is terrible it is not good at all. And the drinks are too watery.
,,,,,,
,,,,,,
,,,,,,
,My advisor was amazing!!,"It was ALOT of talking. It was hard for us students to stay engaged because it felt like the same few things were repeated in every speech, just a slightly different way. I had also already heard alot of this in tours and honors college visits, so it felt like a waste of time when we could have been doing something else. ","More time to connect, less big group talks. ",nope,Meeting friends and hanging out at night. ,
Take your time,Carl was able to make me a lot less nervous and was so much fun to talk to!,,Pushing myself to talk to people,Learning the campus,The social activites,
,,,more time within our majors as opposed to just colleges ,campus tour ,free time to explore and bond with the other students ,
,,,More one on one/smaller group activities and not necessarily bigger groups. ,,My favorite part was when the flash guides had games/activities to do with the students together. That’s where I connected with students most. I also really liked the flash guides introduction! They were really welcoming and energetic ,
The website was a little hard to navigate when finding the test. I thought that we had the option to take the test twice as I read in the directions to improve your score if you were not happy. But when I went back the next day to take the test it said it was proctored which was very confusing so I could not take the test again to improve my score.,Caroline was very personable and took the time to get to know me as a person. She answered all of my questions and loaded me with information on classes and what’s best for me so I appreciate that. I also worked with Mary Kay to fix my schedule because it was not done correctly and she emailed so fast. She gave me loads of information and made my schedule perfect for me so I definitely appreciate that. ,I feel that the session in the morning was very drug out for no reason. The provosts speech was insanely long and repetitive. I thought the first lady who had spoken gave us all of the information that we needed and we did not need to hear the provosts hour long speech that was very drug out. It also was very weird screaming out that we need help which I did not think was appropriate by any means. ,Everyone there was super cool and laid back. All the students were fun and cool to be around and don’t be afraid to ask questions because someone will help.,I think there needs to be more time spent on have to navigate around Kent. I think they need to go over buildings and what’s held in them to help incoming freshman ,The food honestly. It was incredible and there were so many options. ,Please add water places around the campus. I was extremely dehydrated for two days. Really stress to either bring water bottles or have them available for us kids walking around in 85 degree weather with no waters for hours. That was something a lot of students were complaining about with feeling sick and dehydrated from the lack of water. 
,They made it so easy and I left feeling assured that they would have my back throughout school. ,It was very overwhelming and I had a lot of overwhelming papers to fill out in not very much time. ,We should have split into groups depending on what flags we put on our name tags in order to meet more people with similar interests. ,,I loved exploring downtown because it was the first time I wasn’t with a big group or my parents that day and the first time I really felt like a college student. ,
I thought the test was ran very well. It was a little confusing navigating the website to take the test. I also thought we could take the test twice but when I went to it said the test was  proctored so I was a little upset when I couldn’t retake to get a better score. ,Caroline was very nice and helpful to me during my academic advising. I really appreciate the fact that she was personable and really wanted to get to know me and what I like. She helped me with whatever questions I had and also recommended things for me to take.,,,,,
,,,,TOURS,,
,My Arts college advisor was very patient and helpful!,,Doing something in our specific majors vs colleges would have been more helpful.,,,
,My advisor was very patient with me and helped me successfully even though I wasn't quite sure what help I needed.,,Maybe being given a time to just sit and talk with people of the same (or similar) major as me. ,,"I connected with a student and have plans to meet up again for KSU Kick-off, which makes me more confident in going even though I was nervous.",
,,,doing more icebreakers ,N/A,The party at night because I got to meet so many new people and make new friends ,
Try to base the placement assessment to what the student took in high school rather than just the same for everyone. ,Allow people who are further away from campus go first so they can get on their way faster. Other than that I enjoyed meeting and talking with my academic advisor. ,,Having time to talk to more students. ,No,Good ,
,,,,,,
,,,More small grouping of students to evoke comversation,,,
,Everyone was super nice and helpful!!,,It would be better if we had to socialize when we were broken up into our college groups. Not everyone is outgoing so it’s hard to just make a friend.,Talk more about paying tuition.,Everyone hanging out at the end of the night was cool.,
,,,,tours,"hearing about our major and school, also scheduling",
,,,,,,
,,,Being able to talk to people in small groups.,The fair in the beginning.,The flashstories,
,,,,,,
Maybe have an overview before so we know what to prepare for.,,,"Having the DKS day chose randomly because many people scheduled the same day as a friend and already knew people, which didn’t help for people with no connection ","Where to buy book, where to buy book and save, and where to find jobs ",The pre advising ,
,,,,,,
,,,,"I would have liked there to be more access to water and food, or let us know snacks aren’t really provided besides some ice cream. I door dashed lemonade at 9:30 because I was so thirsty","I really liked my roommate, so I got lucky with that, I enjoyed the interactive activities, and the ribbons in our lanyards were fun ",
,,,N/A,"No, dks is already too long.",Advising/scheduling ,"Dks is too long. It is not necessary for it to be a day and a half. It would be better to give the welcome/congratulation speach, touch on important topics with a small q&a, give a proper campus tour and have the advising/scheduling session. The multiple sessions of story time with the guides is unecessary. And there seemed to be several sessions that reiterated the same things. And the extra socializing sessions were unnecessary. It should've been a fun option to stay and socialize instead of forcing us to socialize. You need to keep in mind thise who have social anxiety or feel unsettled around a large group of strangers. We are all adults and we've all been through kindergarten, we know how to make friends and socialize on our own. Also, making it mandatory for the students to stay in the dorms is not that great. It would be better if staying in the dorm rooms was a fun option. Not everyone will be staying on campus during the academic year. so, not making it not an option to stay in the dorms is a little silly in my humble opinion. Staying in the dorms overnight would've seemed like somefun if it were, again, optional. Like a fun ""college experience"" deal instead of a mandated ""you have to"" deal. I know this probably wont make an impact on anything, but there is my opinion. Thank you. "
,,,,Spend more time in the college you are majoring and simulate a class for certain colleges. Show around Moreno buildings really.,I enjoyed just getting to know the campus and connecting with others who share interests.,
,,,,,,
,,,,More touring time,,
"Make sure to use all the time, and take it a second time. Make sure you plan out time in your day to focus on taking the test so you're not rushed.",They were very helpful and easy to talk to. They were honest and helped me find a schedule that would help give me time to complete projects for my major (architecture).,N/A,The social time in the residence hall. And just walking around with the same people- makes you talk to them. Even small conversation during the day then a longer conversation that evening is when I started talking to more people. Especially people going to the same college on campus.,No,Walking around campus and socializing with others after dinner.,"It was very well organized and informative, now I am even more excited than I was before to go to Kent this fall!"
,,,,,,
,,,,,,
No.,,,,,,
,,,"Being put into groups to talk to other students in our college & our of it more. as uncomfortable as it is, it helps make connections ",,meeting my future roommate,
,,,Specifically during the honors information meeting we could have had more time to do just meet people with similar majors/interests. ,,,
,"At first I was kind of bummed I didn't get to meet with a fashion advisor (I met with a graduate student), but she was absolutely incredible and I learned SO much from that short session of scheduling. ",,,,,
,,,"more connections with students of a similar major. tents, more time at the desks, more current students to help encourage or talk to you.",financial aid,"the freedom, not being hammered on to where to go all the time. being able to disconnect from the core of everything to go do your own thing, talk to people not necissarily associated with DKS, being able to take a breather and realx for a moment without worrying about getting into any kind of trouble. it was very natural and made you feel like a part of the collage, rather than an attendee to just DKS itself. ",
,,,,,,
,,,,,,
,"Pam was amazing! Helped me find out what would be best for me to make sure i wasnt so overwhelmed with classes, and made me very excited to start class!",,Finding more students that had similar interests,,"Getting to know about my flashguides and peers! Meeting others who shared common interests, finding out what others like or dislike, playing games to help put myself out there, it was all very exciting and fun!",
,,,"I think it would've been helpful to divide into small groups and have time to talk, maybe led by a Flashguide. There was one instance where we did get about 5-10 minutes to talk with a small group, but if we had had longer, I think more meaningful connections could've been made.",I think that it would be helpful to have time set aside specifically for getting to know the campus. ,,
,,,More opportunities to get into smaller groups,How the scheduling process works and how to navigate using the programs associated with scheduling classes.,,
,,,Finding people with similar interests.,,,
,,,,,,
,,,,,,
Some of the material I had never seen in my high school classes. ,,,,Navigating the campus. ,,
,,,,,,
,"My academic advisor is really good with encouragement. I like that he doesn’t discourage you, but builds your strength in your major.",,"Similar interests in life: music, movies, food, etc.",Showing the new freshman where most of the classes are during day 2.,Walking to downtown and doing activities with the flashguides (they were super cool). ,
,,,,,,
,,,,,,
,N/A,N/A,N/A,No,Scheduling my classes and picking what time i got to have them. ,N/A
The calculator never came up for me,,,,,,
,,,,,Meeting new people,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"they should offer practice before we are required to take the test because for me I took that math in 8th, 9th and 10th grade so it was not fresh in my memory. and I was not offered practice until after I didn't do well on the placement test the first time I took it.",they didn't really know what certain classes were about and just reading the course description was still confusing,,,show us around more ,day 2 confessions in bowman,I feel like it would've been overall much better if it was only a one day thing and some of the unnecessary things were cut out
,I felt rushed making my schedule and didn’t have time to think about how I wanted my classes set up. ,,“Speed dating” activity ,First week of classes,,
,,,,,,
i test better on paper pencil versus online - just personal preference but i feel i concentrate and focus more this improving scores,the lady i got was the sweetest and most helpful ever! it could not have been any better or more enjoyable! ,,more small group activity ,,,
Make it easier to see that the test will be used for placement in math classes ,,,,navigating the campus ,experiencing the college lifestyle ,
,,,,,,
Maybe a section to help refresh the content,,,,,,
It’s just difficult to type answers in.,,,Just being able to talk freely and the feeling of not being judged to much. ,tours around campus ,Meeting new people   ,
,,,,,,
,,,,,My favorite part was when we went into our colleges and met some professors and other students involved with EHHS.,
,,,More time spent with our own colleges.,Give students a map,Spending time with students/FlashGuides in the same college as me,
,,,I spent too much time in the dorm.   ,No,The ability to go at our own will to everything. Gave us first hand experience for what college will be like.   ,
,,,More just student time at the beginning of the day ,No,Meeting people ,
,,this could be condensed into one day making is more convenient for parents to attend with students,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,another student in my major,Resource fair,Advising and class scheduling,
,,,,Navigating campus!!,"Scheduling, Going to bed, and meeting people lol ",
,I loved the person helping me schedule my classes. I felt that she honestly cared about me and my well being and was never in a rush to get me finished. ,,"I had to put myself out their. For a lot of people it’s really hard, i wish that there were more activities that would push people to get comfortable around one another. ",,The friends I made and creating my schedule ,
,very helpful and talked me through future years and schedules too,,more social and talking with kids in my major ,getting around campus ,staying in the dorms ,
,,,,Finding way around campus ,,
,,,,,,
,,,More social time with specific people that had a common major ,,Seeing the campus ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,I think having free time definitely allowed me to make connections with some people. ,,I think my favorite part was meeting with my advisor. I was a little nervous about what to expect regarding classes and everything but my advisor was very friendly and just made me feel really comfortable.,
,,,,Navigating the campus,,
,,,,,,
,,,More opportunity where students are without their family or guests and divided randomly into small groups to talk about the upcoming change and college related issues or questions to be answered or talked about by peers. A environment where we are sort of forced to interact and learn about each other. ,Less of the provosts speech. It was repetitive and boring ,Food was good. ,
,,,,,,
,My advising appointment was wonderful. It was very easy to see my options and my advisor was very pleasant and helpful. ,Very informative. ,,,Eating in eastway!,
,,,,Getting to know the campus more. ,My favorite part of the experience was the flashguide stories. ,
,,,I'm not exactly sure because I only met about 3 people in my major so I don't think the sample size is large enough to come to a conclusion unfortunately. ,It was all very well balanced. ,Getting to know the campus more was very useful. ,Overall I found the experience to be very positive and helpful. 
,,,,"We should have learned more about student involvement, like clubs and intramural sports and how to apply.",The end of the first day where we got to hang out with new friends and dance.,DKS was great! I had a fun time and learned so much. i’m so excited to join in the Fall!
,,,,,,
,,,,,,
,,,Talking to them,,The food,
,,,,,,
Have the language questions numbered like the math ones were. You never knew when the language assessment was going to end.,,All the prep sessions pretty much had the same message to tell. I feel like one hour long session would be enough to cover all the information necessary to meet with your advisor.,"More time with the specific college meetings. There wasn’t much time to get to know others during the day. There were only ice breakers which don’t help people connect, they just make everyone feel forced to participate in an activity with everyone.",Please do not add anything. It was far too long already. The sessions were repetitive.,"I enjoyed the campus tour because there were only like 10 kids in it. It helped us feel more comfortable asking the flash guides questions. When we are in a big group, nobody wants to ask because there are so many other people. ",
,,,,,The end of day one activities. Met a few nice people while playing cornhole.,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
It needs to be updated when a student's ACT or SAT scores are high enough to exempt them from needing the ALEKS score,,,more ice breakers,,,
,,,One of us randomly walked up to the other and said hello. Then found out we had similar majors.,,The evening activities were enjoyable when we were given the choice of what to do.,
,,,,,,
,,,GroupMe heloed me meet people,,Meeting the flashguides in the beginning on Day 1 and eating lunch where i was able to connect with people,
,"It was a good experience where I got to speak with someone who is there to help me with my classes, who isn’t a current student. It was just kind of frustrating when I actually had very little say in what my classes were, but I know this is somewhat out of hands with my advisor. ",,"When asked to ‘turn to a friend and introduce yourself’ I ended up making a good amount of friends. This happened around dinner, so if it would have happened periodically I may have been able to make more friends.","It may be beneficial to include a campus tour for each college, outlining some of the main places your classes may be located. ",The food was honestly really good. I will also always hold the memory of doing line dances with the flash guides. ,
,,,Time to mingle earlier on in the day,Navigation through,Meeting new friends in the dorm,
,,,,,,
,Maybe have each student meet with actual adviser after scheduling classes.,give every one a water bottle it was really hot in the room.,we literally ran in to each other.,not that i can think of.,exploring downtown.,
,,,,,,
,It was good helped me understand how I can schedule my classes and what i will need to take to get the degree I want.,,,Where tutoring services are. Financial aid office or scholarship office.,I liked scheduling my classes as feel well confident I can do it in my own as a responsibility.,
,,,,,"My favorite parts were the flash guide stories because it helped me realize that everybody experiences the same nervousness or anxiousness as I did. Also the advising part and scheduling for classes part I, I loved it and I am  Very content with how my schedule is and how  Flexible and helpful the students (flash guides) and advisors were !",
,,,,,,
,,,,,,
,,,more ice breakers ,,The dinning hall ,
,,,,Knowing your way around campus.,Being able to explore with my peers down town like a normal college student.,The introduction ceremony drags a little bit. It’s all important information but as I looked around the crowd I could see students all on their phones not paying attention and losing interest.
,,,If people were willing during the activities to participate it would’ve been more fun. People just sat on sidelines and judged. ,no,Getting my schedule even though it was extremely stressful and overwhelming. ,
,,,,,,
No,I really liked learning about what my major and minor could be.,I wish I would’ve heard more about the Flashguides experiences.,,,Getting to hangout with the new friends I made in the dorms.,
,,,,,,
Don't use aleks  ,They're great  ,,,,,
,,,,,The time all the students got to spend after the day was done because I got to meet some new people and I think it could help anyone who is nervous about meeting new people.,
Nope,"Very nice and friendly, enjoyed talking with ",,,,,
