OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,spendMoreTimeDestinationKentState,favoritePartDestinationKentState,expectedAsAKentStateStudent,anyAdditionalComments
"The Placement Assessment closed me out of the application multiple times and as a result I had to restart multiple times.  I'm not sure how this issue could be resolved, but that was my experience.  The test was very straightforward though. ",It was very fast paced but I learned a lot and was able to schedule my classes efficiently. ,,Just more opportunities to meet students with activities.  ,I really enjoyed the advising session and learning more about the courses KSU has to offer ,"I should be passionate about what I study and about what I want to do in the future, and I should respect everyone's differences and embrace diversity. ",
,,,,,,
,,,,I enjoyed talking to the flashguides and interacting with new classmates,An open mind and a willingness to succeed,
,,,,,To excel academically and to create a purpose for myself. ,
Send out emails or some form of notification to let us know that the deadline to do your placement tests is coming up. Or at least a reminder to do them before DKS.,I waited for an hour to go to the College of Nursing then sat for about 45 minutes in the office to be seen by an advisor.,,,Meeting and becoming friends with new people going through the same things I am,"To be myself, do well in school and find my purpose",
n/a,,n/a,More on purchasing books and finding a job ,THE FOOD!!! The dorms and touring downtown.,Love and have success,n/a
,"Very good. I felt discouraged about not meeting as many friends as I wanted, until I met with my advisor and had my classes scheduled. I then felt super excited about starting college in the fall.",,The Theater program! there was only a 10-minute talk about it and I wanted more info. ,"My academic adviser was extremely helpful and setting up my schedule with a current Kent student was really nice. Both of these people were extremely real and helpful and treated me like an adult, they helped a lot of the anxiety I had been having about starting college.","To go to class, graduate in 4 years, and be academically successful.",
none,none,none,one stop shop at Kent ,the evening activities,To achieve my goals in life.,none
,,,nope,"Being able to stay in one of the dorms for the night, it was a good indication of how small/ large the rooms will be.","I believe that I am expected to be a good student, follow campus rules and regulations, and to overall have a good experience for the next few years.",
,,,,,To be an active and responsible student. I should get involved and be accepting.,
,,,,,,
,,,,,,
,,,,,Approrpiate behavior befitting of a young adult. Using all the given resources possible to get the best possible results in furthering education and research. ,
,,,,,,
,,,,,,
,,,,,"Do my best academically, make friends, find new opportunities ",
,,,,,,
,,,,,To find my purpose,
,The waiting was far longer than expected. I stayed in the office at the college of architecture and environmental design building for well over an hour before my advisor came to collect me  ,,,,Community involvement ,
,,,,,It is expected that I will be academically focused and successful along with being involved in some sort of campus activity.,
,,,,My favorite part was meeting with the flashguides and other students during meals and the evening activities.,I should strive for academic and personal success during my time at Kent State.,
No,,,No,Getting familiar with campus helped me feel more at home,"Be academically successful, be involved, and have a fun college experience",
,,,,,To take my academics importantly,
,The student who was helping me was very polite but assumed a lot of things about me like I wouldn't want to take morning classes or he just slotted me in classes I didn't want to take. If I was a more passive person I would have just let it go. ,,,,,
,I was very pleased with my academic advising! Everyone was so nice and welcoming. Happy,It was great ,nope,Meeting new friends. It was so much fun! Every part of it,To get my stuff done and really find myself at college. ,Thank you everyone for everything you do to make KSU amazing! It is very appreciated not just by me but by so many more Happy 
,,,Focusing on how to get around campus and where classes are located,My favorite part of DKS was meeting my peers and classmates.,As a Kent State student i feel that I am expected to be responsible and active in the community.,
"When i took mine, it crashed in the middle of taking it and wouldn't allow me to complete my test properly. ",,,"how to schedule classes, how to pay tuition/when tuition is due",I really liked getting to know the campus more and the food was pretty good. I also enjoyed talking to the flashguides and hearing their stories. ,Be successful,
,,,,,,
,,,,,Good grades,
,,,,,,
,,,,,To be academically successful and to interact with peers and get involved.,
,,,,I fairly enjoyed the demonstration of  \what a college lecture would be like. It really gave me the sense of what a college course is as to what a high school class is like. ,I believe that as a Kent State student I need to do well in school as well as stay involved with the community. ,
,,,,,To get involved to form friendships.,
,,,,,,
,"I would have liked to meet my advisor personally, but the people I did meet were friendly and helpful, so it did not perturb me in the least.",,None come to mind; all topics were discussed for a reasonable amount of time.,The FlashGuides: they made the whole experience a lot more fun and lively.,"Academic excellence, getting involved/connected with fellow students, and overall succeeding",
,,,,"I enjoyed going to our ""first"" class and finding out what is expected from the students ","Coming to college is the start to a whole new chapter of my life, with freedom comes responsibility. I believe im expected to be respectful and make decisions that are best for me",
The test didn't tell me when I was done. It just booted me off. This happened to another girl I talked to at DKS as well. ,,,,I enjoyed going Downtown and I enjoyed hearing stories from the flashguides,To go to class and try my best. ,DKS was amazing for me. I cannot wait to show my Kent Pride!! 
No it was pretty good. Not anything that really can be improved a upon.,Maybe getting learning about the core classes.,,Some scholarships viable for Kent students.,Planning  my schedule for college. ,"For me to have pride in my school, and pride in myself, and other students. To work hard.",
Honestly it was good experience other than that I needed a calculator for most of the problems.,Nothing to say really it was a great experience overall! ,Overall satisfied with the experience no complaints from me.,More on housing and where everything is at around campus .,Hanging out with the flash guides they treated me like i was already apart of the family.,I believe that showing your talents and expressing yourself is the main goal at Kent State. ,It was overall fun and enjoyable to go on destination Kent State.
,,,,,,
,,,"Spending more time looking for your sciences that you need when you are with your college. Also, the campus, finding your way around it.","The nighttime activities, scheduling my classes, and meeting with my academic advisor.","To be the best student you can be, follow your dream, and find the purpose of yourself during your time at Kent State",
,,,,,,
,,,,I loved meeting new people and the flash guides. Everyone was so welcoming.,"Be the best student I can be, and trying to get involved in different activities ",
,,,Spend a little more time showing different places on campus,Meeting new people,To get involved and meet new people as well as having academic success ,
More functional system,,,Visiting facilities that i will be using like the gyms and other places on campus,meeting my counselor,Work hard,
,,,,Melt favorite experience was meeting new people and making connections with the flash guides when it came to organizations or how the transition is from high school to college.,To study hard and use resources to help you become a better student wether it's getting help with classes if your struggling or going to office hours to talk to your professors about what your struggling with. They are there to help us. ,"Listening to the flashguide stories really helped me with feeling more confident about leaving home and going to college. Kent is 3 hours from my hometown and i was nervous about being so far from home but hearing their stories on how they were able to find themselves and make new Friends really helped me be more confident on leaving home. Some of there stories even relates to my own so it also made me realize that I'm not the only one who goes through struggles in life, and also that I always have someone to talk to."
"Not really a whole lot of feedback just make sure to put some notes or steps to help understand and  have the questions ""come back"" to the student.",Issiah knew what he was doing and the advisors were very helpful given my limited knowledge about scheduling.,Very informative and very helpful knowing that there is plenty of help at KSU.,No.,Getting to walk the downtown and evening activities. I loved the vibe I felt.,To get better grades than high school and feeling a more of a connection to a school and community.,I'm looking forward to move in day and hope all goes well.
N/A,I really liked how my adviser had a background in my major. It makes  it easier to have a connection with them and made me feel like i would trust them even more to help me chose what classes are right for me.,N/A,tours to buildings that classes were in. ,meeting my adviser was the most important part for me and i am very satisfied with it,To get involved,N/A
,,,,It was nice to hear the flash guides feedback on my questions and they gave good answers ,Accomplish your goals and dreams ,
,,,,,,
,,,No,Hearing flash guide stories,Get involved and do well I'm classes,
,,,,,Good grades,
,,,Going over where all the buildings are. ,Getting the chance to meet new people. ,Getting involved with different activities and getting to know new people. ,
"I love how before you took the test, you were shown how to use the tools and it even told you what to click on. I also like how I could take my time with the test. ",It was very quick and stress-free. I like how most of my classes were already picked for me. ,,Tour of the campus,Splitting off into the college we are going into and learning more about the college of art. ,"To excel in my classes, respect everyone around me, as well as Kent State property and to have pride in the school I am apart of.",
it would make the placement assessment if there were easier typing controls please,,,I would have appreciated if there was additional information on studying abroad.,the overall atmosphere and excitement everyone shared.,to unknown my boundaries,
,"had a wonderful experience, she explained everything and made me less worried about my classes, and more excited about picking what i wanted and what would help me. ",,"going to residence halls, i know it's not a tour but for some people it's their first time there. more tips and help, maybe pamphlets instead of like 5 hours of sitting and listening, that way we can review on our own and go around campus more.   ","i loved scheduling my classes, hearing flashguide stories was nice and i wish they would tell more and give more advice. i got there late because i was in the hospital, so i'm not sure what happened in the beginning but i wish there was more freedom and some guides split up groups to be more personal with everyone. ",me being who i am and doing what makes me happy and what will help me in the future. showing pride in my school and doing the best i can ,"i'm not sure the whole experience was not good for me because the people are not dedicated or involved, i think just coming late and being in pain didn't help, and sitting for so long was not good for anyone at all. i am still very excited to attend and i can't wait for everything to finally be real!"
,,,,Meeting new people and spending time with them,To do well in my classes and to get involved,
,It was just very helpful!,,,"The social hours where we just got to hangout with the flash guides, ask questions, and enjoy each others company",To be myself and try my hardest at whatever I'm doing. Also to achieve all the goals I set for my my self,
,,I just want to say the flash guides were beyond awesome. Now I want to be one. ,N/A,Hanging out with the flash guides definitely. ,"To help my fellow peers succeed, and to represent Kent State! ",Please do something nice for the flashguides. They were amazing in every regard. 
Possibly making the test shorter,,,Familiarizing the campus to the students,The flash guides were very helpful and made the whole experience fun and enjoyable,To become a well rounded student who can successfully go into society and make a difference,
,,,Should have included a campus tour.,The Flash guides were amazing people and easy to talk to about any subject.,Be yourself!,
,Very helpful,,"We talked a lot about what the campus has to offer, but not where can can find each individual office or more information about things. If I needed to speak with the academic advising office, I'm not sure how to get in touch with them or where the actual office is. Really think a full tour would be helpful!!! ",Food & scheduling classes,"Being myself & striving to be the best I can be, both academically & socially",Go flashes!!
,,,,,,
"When we've finished the Foreign Language Test it doesn't specifically tell us like the Mathematics Test. It just goes to a page where it makes it seem like your connection dropped, but all in reality you did finish it.","My Advisor, John, was amazing with helping me out. He told me what I needed specifically and, and comforted me when I thought I needed to take things I really didn't. ","Maybe trying to put more interactive things in between all the talking. A lot of people, including myself, were becoming tired and irritated from sitting there so long. Also the ""Catch The Spirit"" people should have come down the isle to throw t shirts because everyone in the front had an advantage. FLASH GUIDES ARE AMAZING! Let them keep doing what they do. They are the best! Shout out to all the flash guides July 14-July 15. ","The ""sex talk"" and having people in your room, etc.","The Flash Guides. They were the best! They helped give us stories of how they messed up so we wouldn't, and made us feel at home and welcome.","To achieve my goals I came there for, make new friends, work hard, and have fun with my new Flash family.",
No,,,,,,
,,,,,,
,,,Helping us find our classes ,The flashguides were for sure the best part. They made everyone feel so welcomed snd comfortable to be themselves and to just bave fun!,To work hard and have success ,
,,,,,,
"It would be helpful if there was more clarification. On my flashline account, the placement assessment portion was checked off the checklist. However, I would receive constant emails and calls asking me to complete them before DKS. ",The woman who helped me schedule my classes was very helpful. She asked me about morning/night classes and what days of the week I wanted them. She also told me about the writing challenge that I could take to test out of English 1 because it was full and my ACT score would qualify me for English 2.,,,,,
,,,,Meeting the flash guides and the late night interacting and dance session and also listening to the flash guide stories.,TO BE MYSELF!!,
,,,,,To succeed.,
"I didnt really like how the other website was set up, it was a little difficult to navigate. ",,,Scholarship options ,Just the overall feeling like I belong ,To strive to be all that I can and to make a positive impact on the world around me,
,,,,,,
,,,"A tour of campus, by college","I enjoyed the ""first class""",To work hard for what I want,
,,,Get rid of the mini pep rally,Free time at the end,Working hard and applying myself ,
,,,,Getting to take one on one with David and Jordan to help answer questions and to make me feel like I'm now a part of the Kent state family ,Is to be me ,
,,,,,To do well in school and be happy ,
,,,,,,
No,,,,,,
,I wish would have been on the first day with optional  information the second day.  Theres a lot information to cover and we live in Columbus so we didn't need to stay but just for that.,,,,Be best that I can be,
no,,,,,"To help develop the school in a good manner, and to represent the school in a good manner.",
"My ACT score was enough that I did not need to take the tests, but I was not told that so when I tried to take the test I had many technical issues. ","My advisor was very nice, but my appointment seemed rushed and she said to meet with her again 3-4 weeks into the semester but I am not sure how to schedule that. And I did feel over whelmed a little because of how fast the appointment was. ",,"Flash Guide stories, and more catch the spirit","The Flash Guides were my favorite part, they were so friendly and knowledgeable. Knowing that they were going to be my peers helped a lot too because now I already know people who know all about campus and have so many people that I can ask questions. ","To be the best student I can be, and when I'm not to find the help that I need. Also, to be responsible but to have fun and enjoy my college experience. ","The girl I roomed with was nice but invited some friends over to our room during the social hour, which I didn't mind but I soon realized that these were people I did not want to connect with or be around. I know I could have sent a text to the RA about the situation but I felt that at that time of night it would be too late to ask for a new room. "
,,,connecting other students  ,flash guide stories and advising session,to thrive and be successful,
It definitely needs to be easier to find.,,,,,,
"The Questions aren't difficult for students to figure out. It is the fact that I haven't done any type of algebra or geometry since last April. I feel like placement tests should be taken earlier in the summer, that way what a student has learned during the year is more fresh in their minds and they will achieve better scores, as well as more accurate ones. Also, I am a much more of a hands on learner and worker, so online testing isn't as easy for me. I like being able to write and cross out on the question, it helps me visualize the problem better.",,"Some of the lectures we had did not keep my attention. It was a very long span of time, that was filled with speech after speech. I personally have ADD and it was getting difficult to pay attention and also take in all the important information that was being given.",,scheduling my classes and being able to see early on where they are in relation to my dorm. I have anxiety about time. It comes as a big relief knowing where I have to go and somewhat learning my way around.,"To be open to opportunities that arise, take risks, believe in yourself as well as your peers and most importantly find your meaning in life.",
,,,,,,
,Flash Guides were very fun and easy to communicate with!!,,Financial Assistance,FLASH GUIDES,"Get involved, be open minded",
,,,Bus routes,Meeting new people,"Success, happiness, and being proud of your school",
,,,,,To be respectful and find your purpose,
Not necessarily. Just to make sure you take your time ,My advisor was very welcoming and nice. She understood what I wanted and it looks like she will help me to achieve my goals ,,,Meet the flashguides. They made me make up my mind to be one also. Advising and scheduling of classes was another experience I enjoyed. ,I must be successful and represent Kent state university wherever I go. ,It was a wonderful experience. 
,,,Talk about more clubs,Scheduling for classes,To be involved the in Kent Staye community ,
,You guys are awesome for dealing with kids like us!,,Explain the layout of the campus and maybe some history so some students can understand why exactly the campus is there.,Meeting my future classmates!,Get at least a 2.75 to get into the fashion school...,It was an amazing experience! I would recommend that everyone should have!
,,,,I enjoyed the more casual programs with the flashguides. Learning from actual students seemed to be the most realistic and applied the most to me as a student.,I believe I'm expected to strive for more. I believe I am expected to push myself past my previous boundaries. ,
,,,,,,
,,,,,,
,,,,,,
"The foreign language placement assessment was difficult for me to find initially. As ideas using the link provided in the student checklist, it kept redirecting me to a place that was attemptingvtovcharge me upwards of $70 to buy my test. ","It was definitely geared more for a young incoming crowd, but I was able to speak openly with my advisor and I was overall very satisfied with suggestions she made","I would have liked some one on one time with someone to go over financial aid with me, since I am the only one looking after my own expenses.",Perhaps a time specifically for students that are paying their own way to have some financial aid discussions that explain the different kinds of loans as well as the pros and cons of each,I really enjoyed singing karaoke with the flashguides during the after hours activities,I expect myself to succeed. I can't speak for anybody else.,
,,,,It was all very informational about Kent State and how they really do want you to thrive and how to do that. Everyone was very helpful and nice. I enjoyed scheduling my classes and knowing what to do when I need help in them. ,Hard working in each subject  ,My academic advisor was very comforting and helpful when explaining the classes and curriculum of Nursing.  I had a lot of my doubts about the program and if I was going to be able to accomplish it but I was definately encouraged with the turtoring available. 
,,,a whole campus tour ,going downtown ,to succeed ,
,,,,I enjoyed learning about the different clubs and events that would be happening. ,I believe I am expected to be involved and excel in all my classes. ,The flash guides were extremely friendly and did a great job! 
N/A,,,Getting to know the campus more ,Evening activities ,To do well in understanding what I'm learning,
,"My advisor actually took the time to have a conversation with me and made me feel comfortable asking questions. In this way, my experience was very different than high school where my counselor almost forced me to take AP classes and didn't take the time to really care about her job. It was incredible to me that advisors at KSU regardless of number of students they are responsible for meeting with are able to make the experience feel personal and to make it a positive experience. ",,"If possible, if the guides could do a question and answer or just give a little background to those planning on similar majors or even just the same college. For example, a flash guide student who is in the college of Arts and Sciences and is a biology major talks to students in the same college or with the same major about experiences in terms of classes, job opps, and all other relevant information they might have. ","I really enjoyed everything offered, but especially the resource fair and the flash guides.",To become inspired in what I love and to take that inspiration to fuel success in and out of the classroom as well as in and out of the KSU community. ,
No,"It was good, she helped me with making goals and told me my overall goal isn't ridiculous ",,No,"I loved seeing downtown, it's so cute.",To find out who I am,
,,,,,"I believe that my involvement in at least one organization is expected of me, as well as me maintaining good grades. ",
,,,,,To do the best I can do academically while really trying to find the person I am to become for the rest of my life with the help of many positive influences in my Kent State experience. ,
,,,,,,
,,,Have another tour of the campus maybe? I understand there were plenty of opportunities to schedule tours outside of the DKS program but it still would have been nice to walk around campus more during DKS instead of just going back and forth between eastway and the student center. ,"What I enjoyed the most about DKS was being able to spend the night and get a feel of what the dorms are like, and sleep in a different environment than at home.","As a student I believe I am expected to be involved and make connections with many people, and just be outgoing overall.","However, as an introvert I feel like there might be too much pressure to make so many friends and to surround myself with people and be all social and outgoing while attending every event."
,,,,,,
,,,I wanted to focus more on my college instead of basic information I already knew ,Walking downtown because we were treated like adults ,I am expected to repair the my school and peers ,
,,,,,,
,,,,,To set and achieve goals and to discover my purpose.,
,,,,,,
,They let my group out early so i was waiting around for an extra hour but other than that it went pretty smoothly.,,,The downtown tour was my favorite part. I was really nervous about whether or not i would even like Kent outside of the school and i realized immediately that i would love it. Just walking through downtown made me ten times more excited to move in and start school.,To not only be academically successful but to step outside your comfort zone and discover who you are and what you really want for your future.,Overall DKS was an amazing experience! I was extremely nervous but by the end I didn't even want to leave. I'm beyond excited to start school and become a proud and active member of both the university and community.
N/A,"Natalie Kiriazis, my academic advisor, was very helpful in discussing my schedule and answering any questions I had concerning coursework/needed materials.",N/A,"Discuss more about the process of buying needed materials for class, such as where to get them and how to get the best deals on them.",The evening activities and the opportunity to walk around downtown Kent. I felt as if I found many places I could visit to connect to others.,To find success within myself and to find my purpose.,N/A
,,,,,Finding my purpose,I believe the overnight stay is unnecessary for students like me who will commute and live relatively close to campus. 
"Perhaps my only comment would be to try and ensure they work seamlessly, had some technical issues with my Spanish placement exam. I ended up trying to take it on three different computers because it was loading incorrectly. Then in the end, I didn't receive a score and I worried it meant I hadn't completed it, yet it was labeled completed. So just some technical glitches that may need some attention.","In regards to registration, utilizing current students to help register for classes was an outstanding idea -one that I most definitely appreciated knowing that my helper knew where everything was and even the distance of a potential walk between classes. This helped tremendously in figuring out everything and I ecstatically encourage the continued use of this resource.",,"I'm not even sure if there's a place or anything to go, but as an incoming student whose family has been affected by the unfortunate drug outbreak, it would be nice to know if there's a place to go to receive counseling so as to vent out frustrations about the affected family member or even just find people in similar situation.  Otherwise the program seemed to cover everything I could've thought of.",Definitely the energy of the Flashguides. It really helped pump me up in the morning even when I didn't think I had the energy. They were all so helpful and incredibly welcoming. You chose an outstanding group and I can thank you enough for having it be them that helped welcome us. They were always helpful and very open on communication which was also appreciated.,To find my purpose and excel as a student. ,
,,,,,,
n/a,n/a,n/a,advising prep,flashguide stories,fulfill my dreams in becoming a teacher and career plans,n/a
,,,Financial Aid*,meeting people ,Strive,
Reflect of what you've learned in highschool before taking the test,,,Knowing the area,The flash guides! They had positive attitudes the whole time and listened to our fears and excitement.,To be involved ,
,I didn't know which classes were best for me. I would have liked a little more guidance on what I should do.,,,Taking the tour of downtown Kent.,It is expected that I work hard and be the best that I can be as a student here.,
,Everyone was very helpful and made sure I knew what was going on.,Very helpful and informative.,"Step by step instructions, examples",The enthusiasm and the excitement. I didn't want to leave to come back home. I wanted to start the next day.,To earn an honorable title and make something of my life through the education and support of Kent!,Keep doing what you're doing!
,I ran out of time very quickly ,,,,Making sure you know everything that is available to you. ,
No,,,"My mother said that the people who ran the financial aid ""session"" did so in a matter that made most of the parents panic. Optimally , you should give them the estimated amount, and then go through ALL options of payment. My mother said the people ""asked if I would be paying with cash, check, debit, or credit"" . Not everyone can afford these methods (actually, practically nobody can) so, please don't talk like those are the ONLY options. It scared most parents that the speakers thought they could just take it out of a 401k or similar, which my mother told me is NOT how it works.","Evening activities was pretty fun! I talked to a bunch of different people, from Kent and attending DKS.","I believe I am expected to keep the campus safe, friendly, and to seek help when I need it.",
,Very welcoming ,,,,,
,,,,,,
,,,,The guides were great and fun ,"Good grades, part of the community, and just have fun ",
,,,,,,
,,,No,I liked the advising part because me and others got to talking and started to make friends in our college ,Find my purpose ,
,,,maybe,planning my schedule,to be happy,n/a
,"My advisor was very friendly and welcoming, could not have asked for an easier or more enjoyable time during academic advising.",,Better tours of the campus itself.,,Success in my classes while maintaining a positive and friendly atmosphere with my peers.,
"Make it more clear if taking the placement test for each subject is necessary or not for each student. Some students were told online that they did not need to take the placement test due to CCP credit, but then learned at DKS that they did need to because of their major.",,,"Option for a formal tour of the campus; opportunity to see other housing besides eastway, other classroom buildings, etc.",I enjoyed staying in the dorms and getting to schedule my classes ,To maintain good grades and a feeling of fitting in at school ,
,,,,,,
,,,,,,
,,,,,,
,,,,The free stuff and scheduling my classes!,Be an overall good student,
,,,,Meeting new people.,Being involved!,
,,,,,,
,,,"Sports, club sports, recreational activities","Exploring the campus and walking around and seeing the buildings, as well as the advising sessions because everyone was really helpful with my scheduling.",To add to the community positively in some way.,
I couldn't find the foreign language section for my placement tests but it wasn't a huge deal,no complaints. my adviser was very helpful,Everything was reassuring and informative,a typical day for a student,hanging out in the lounge at eastway and the tour of downtown,to get good grades,
,,,,My favorite part about the DKS program was finally signing up for classes and getting the schedule minutes after.,"As a Kent State student, I believe I am expected to get involved in Kent while being a productive student.",
,Most of my questions were not answered and if they were my advisor told me to ask someone else. My advising appointment was not helpful at al and I am still very confused. ,,classes,flash guides,goals,
,,N/A,N/A,N/A,To try my hardest ,N/A
No. ,"Meeting with my academic advisor was one of my favorite activities during DKS. However, I did have some trouble when it came to adding myself as ""waitlisted"" for classes. I had to put in a placeholder so that I would be considered a full-time student. Perhaps there could be a way to avoid the trouble of having to put a placeholder in my schedule. ",,,"My favorite part was, honestly, spending one night in the dorms. I felt as if I was a real college student, and that feeling was wonderful! ",I am expected to reach my full potential academically and to get involved within my school and community in order to make a difference. I should take my passion and make it my purpose. ,
,I wish it was organized in a different way so it went quicker for everyone.,,"More explanation on scheduling: which classes are good to take, what older students think are the best ideas, etc.  ",The flash guides were very approachable and everyone answered any questions nicely.,To do what you need to do ,
,There is a glitch when printing out unofficial schedules from the Visual Schedule Builder (not the printable schedule received after you register),Hand out bags at check-in,Inform us about the summer reading assignment in our acceptance letter. I have much less time to read the book because I was only informed at orientation.    Hand out bags at check-in,I felt less stressed having my schedule in my hand.,Succeed academically and be well-rounded,Tell us about the summer reading ahead of time and hand out bags at check-in
,"Franc provided me with the answer to every question I had even if it wasn't part of his department, as well as giving me additional resources to further help me get me to where I needed to go.",,,"At first I thought the Flash guides where super cheesy but after we got to know them, they where so incredibly nice and probably the best people I have ever met. Shoutout to Jordan for the same major DMP!","15, 30 rule",
,,,,,To achieve my personal goals and to pass my classes,
,,,,Games and karaoke ,Following rules and getting involved,
