OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,DestinationKentState,anyAdditionalComments
,Advisor scheduled 21 credit hours because he didn't take into account the 2 honors classes already scheduled and assigned me to 2 classes that were full and could not be registered.  Student registrar had to fix my schedule and then we went back to validate new schedule with a different advisor. Information that was filled out online prior to DKS was not reviewed by the Advisor and he had no knowledge of the courses needed for a psychology major and had to keep going online to check course requirement.,,,More accurate Destination Kent State App so that I don't have to rely on paper schedules.  Parents schedule segment on Destination Kent State App.  Allow Honors support staff to give guided tour of Stopher/Johnson hall and dorm room.  More time for Honors students to meet each other.,Another DKS student had an older friend on campus that took 5 of us on an in depth tour of the campus instead of going to the party.  It was great for the 5 of us to become friends and learn the real campus life.,
,,,Met them outside during the activities and the conversation sparked about clothing and just held on well from there. ,Take the art students to the fashion school when touring!,meeting new friends,
,,,,,,
,,,,Maybe a better and more in depth  campus tour,I really enjoyed being able to interact with students of the same major at dks along with all the flashguides who were extremely helpful. ,
Have an indicator at the top saying what number question you are on and the total,It seems to be a little bit confusing with being honors and having ccp credits but besides that the advising was set up well and ran smoothly,N/a,,,,
,Again Danielle la’boy and Jariyia were great as well as valla and Michelle and everyone else,Again Danielle la’boy and Jariyia were amazing ,More minorities such as my self I’m African American ,,Meeting Jariya and I️ have been knowing Danielle La’boy,Jariyia and Danielle La’boy were great
,,,,,,
,,,Evan smaller groups of individuals.,,I enjoyed pretty much everything about DKS. The program was very informational and gave me a solid feel for how activities will be like in the fall. ,
,,,More social time and opportunities,,,
,,,,,,
,"Marie was very friendly and welcoming, and I felt very comfortable talking to her about any and all my concerns and questions. ",,,Maybe mention counciling that is available for students if they start to feel anxiety or depression,I liked visiting downtown and scheduling classes. ,
I wasn’t aware that I could take a language placement exam for Spanish since I want to continue learning Spanish. Just a quick notification that there are other optional placement exams would be helpful.,,,More time between sessions without parents,,My favorite part was the icebreakers with the other students in my program that happened before the walk downtown.,
,,,,Finding your way around campus.,"Flashguide stories were phenomenal. They really hit home for me, especially. I liked connecting with our flashguide and asking questions.",
Get the older gentleman that went the first day of DKS to provide some jokes during his speech because everyone was falling asleeping from him talking.,,,,,,
,,It needs more interactive and less mind numbingly boring. As the day went on group of 5-10 people were leaving at each break. They were the smart ones. What was said at the resource fair was completely repeated making the lectures completely boring and useless.,,How to get around campus,It being over. ,"It was horribly long and boring, I just happy it’s over. I think we should schedule class the first day and make the rest optional. I didn’t need to waste my time hearing stuff I already know in an incredibly boring format. The information could be condensed as there was a lot repeating. I just happy I only have to go to this once."
,,,,,,
,,,"For me, connections take longer than a day and a half to form.",It would be nice to have a tour to all the places that are talked about.,I liked the food!,
,Again just wish I could work with my actual advisor. ,,To be honest I would enjoy more fun programs for students. There was so much information that I will never need to know but my parents care about. I just wish students had more party events seeing there is so many pep rally’s and everything I wish I could have seen one. ,I would have loved to know what it’s like having the schools spirit. ,The night time of day one where we really get to connect with students and flash guides. ,
"Complete Placement Assessments shortly after completing your prior schooling, so that any relevant information would be in your mind more likely. Take the tests seriously and allow even more than the recommended time to make sure that you feel no stress of time constraint while taking and show your very best.","My advisor, Ms. Truella Harper, was very well informed and helped me feel secure in my decisions. She helped very clearly guide the actual scheduling process to follow.","It was neat to be separated by College, meeting specifically students with similar/related academic interests.",,"Some more descript and defined instruction on where, how, and when to buy books and supplies would have been helpful in addition to its mention in my DKS session.","Exploring campus, both through guided tours and on break with my family, was very fun and rewarding, increasing my excitement of Kent State and providing a useful backbone to work off of come KSU Kickoff in Fall.",DKS is a really good idea for acclimating new students to the campus and atmosphere. I know that it already has proved to help me get out of my comfort zone in a good way. 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
No,,,Just having time to talk ,No,,"I am very disappointed with the way this “system” was carried out. First, both my mom and myself work full time every day. Both of us had to call off almost 2 days of work which I just started and it was not easy to take off. No one has ever heard of a college making it mandatory for students to spend the night for a what should have been simple orientation. My normal schedule had to be completely rearranged just for me to make it up there. You guys need to make the overnight stay optional or for students who are staying on campus only. I literally got nothing out of staying overnight except a lack of sleep. Also, the program and lectures need to be shortened to just the necessary information to begin the semester. Some information could have been given as paperwork instead of spending the extra unneeded time verballing saying it. "
,"My advisor was nice and explained things to me, but my scheduling was messed dup due to my lacking in certain classes and had to be redone, which made my scheduling process longer. ",N/Ai,"Honestly, just the people I was grouped with were about as antisocial as I was, so it was hard to talk to them. ",I think maybe there should be an activity where you have more chances to talk with different people. Like speed dating or something.,"My favorite part of the DKS program would have to be the scheduling. Yes, I had fun at the other sessions and enjoyed my friend's companies, but the scheduling just made it so REAL for me and it was just so so thrilling.","Keep doing a good job, you're doing great! :)  "
Online was very convenient and less stressful than taking an exam in a classroom setting. ,Very helpful and knowledgeable. ,,,"A financial overview including scholarships, financial aid, and other factors. Confirmation that outside scholarships have been accepted and that the scholarship match promgram is in place. ",Meeting with my advisor and having someone directly answer my questions. ,
,,,,,,
,I left Kent very motivated and ready to start the new year because all my questions were answered in advising.,,,,Going to downtown Kent,
,,,,,,
no,,,,,,
,,,,,,
,,,,,,
,,,,,Scheduling my classes and visiting downtown Kent!,
,,,,,,
,They were VERY helpful and answered every question that i had.,,If we were with more than just our colleges.,Provide a guided tour downtown for student who do not know the area,,
,,,I made connections by meeting other people in the same college I am in. ,,I enjoyed the flash guides the most. It was really helpful to talk to a student about campus life and studying. They offer a “real” answer from a students perspective ,
,,,,,,
,The graduate student who helped me was great. I felt like I walked out of the meeting satisfied with my schedule and comfortable navigating the process. ,,I feel like when the parents where around kids where less likely to reach out and meet new people. So I feel more time when the parents where completely separate would encourage connections.,,I enjoyed the evening activities when the students had a chance to explore the campus and get to know each other.,The flash guides all seemed very approachable and helpful and if there was a question I felt comfortable asking.
,,,,,,
,,,Somethings that people said I didn’t agree with but I’m not one to say someone’s opinion is wrong so I stayed quiet because a lot of people’s viewpoints were not the same as mine. ,There’s so many questions that students have and some weren’t asked because they were in large groups and didn’t want to look dumb so having some one on one time with someone may be a good idea. ,Getting to ask the flash guides questions. I like to know what I’m walking into before I get there and they helped answer what I wanted to know. ,Studying Abroad was talked about but maybe not enough. I wasn’t aware that Studying Away was an option and that is something that I was more interested in and there was little to no mention about it. 
,,,,,,
,,,,,,
Remember your formulas,,,,,,
Explanations could have been clearer,From my mom - better signage getting to the Eastway Center and the parking lots.  The address given for GPS took us to the address on Petrarca drive - not the entrance we needed to use. No signs guiding us to that entrance. ,Confusing.  ,More get to know others sessions,,,One Stop for financial questions on Friday was not helpful to my dad - she just told him to look at the website. 
Everyone was extremely helpful and I just want to thank everyone who participated in making the experience great! ,,,,,,
,,,Smaller groups,,The flashguides,
No,NA,NA,More comfortable ,NA,Meeting new people ,
,,,,,,
,,,Talking and finding common interests ,Room assignment and going to see the actual residence halls ,Playing over the mountain with the college of the arts group and meeting new friends ,
I would send out information to have the students prepare more for the test.,I would of liked to get my roommate after I went to Destination Kent.  I met some nice people and would of liked to room with them.,,The walk and social.,,,
,Amazing and so much fun. Enjoyed this a lot. Drove 7 hours for this was worth it. ,,The games,,,
"The air conditioning system should be fixed. It shuts off if you don’t move after a certain time, which isn’t efficient when sleeping ",Have more signs the first day for the student center. ,,,Go a little more in depth in scheduling classes. ,The party the first night. I was able to make really cool friends ,
,it was very personal and I was able to find and pick the best classes for me.,,partner activities,,the energy of the flash guides.,#NAME?
,,,,,,
,,,,,,
"I noticed some students didn’t know they had a placement test. Send emails, calls, texts to student or parent to let them know. ",Both the assistant and advising lady we’re both very nice and helpful. ,,Not having anxiety,,FREE TSHIRTS,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,More of a campus tour to learn my way around better  ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
give more time to take it ,,,,ap score transferring to scheduling ,seeing the housing ,
,,,,,,
,,Did not advised me on anything about choosing certain classes over another. Also no where to get water. The meals provided we not fitted for everyone to eat. ,,"More time on your actually major and less time telling everyone to go to class which is a given. More information about living actually on campus, where the grocery store is on campus. How to chose loans and how repayment will work as a student paying for college. How and when to get a job that will work with my schedule. More day to day what I will need and will want to prepare for. ",Schedule my classes ,"For myself I would have like for my parent and I to be able to to stay in the same dorm room so I could ask for opinions on my classes. And water either needs to be provided or knowledge needs to known of where water can be found. Breakfast needs to be more than coffee,that not everyone drinks, and pastries. Because that’s not breakfast. "
,,,,,,
,My advisor was very helpful and made sure my schedule worked with me! I feel really comfortable and not stressed out about my current schedule! ,,,,,
,,,,,,
Allow to take a second time online to see if we could better our score! ,,Students should be told to bring luggage to residence check in.,I know not having my parents come with me got me more involved with other students. ,Nope,The after math in the basement ball room for games and activities was a good way to bond.,
,,,,,,
,,,I made good connections ,,Evening activities and getting to meet new people,
,,,,,,
,,,,,,
,,,,,,
No.,,,,,,I was not provided with a towel and sheets as I was informed that I would be.
,,,,,,
N/A,,,,,,
,,,it was fine,"have open rec to try some of the classes, etc.",,
"Give more information on how to format the answers, such as how to input the info the desired way.",,,,"The check in for the dorm could have been a little better marked, we did find it eventually. ",Mario kart at the social,"There were not enough group activities to make friends, should have more of those small group excercises so that you can make those early friendships"
nope,"My advisor was great, he made me feel welcome and super excited to start in the fall. He didn't make me feel dumb for not understanding stuff and took the extra time to explain things. ",Very Informative,Maybe a session dedicated to meeting people with similar interests or colleges,Letting students get to know the campus.,Getting to know other people and having them in my room until 1 in the morning. ,I had to much fun and cannot wait for the fall.
,,,,Campus tours,,
,,,,,,
,,,,Going over the map to help students figure out where classes will be as well as their future residence halls,,
,,,,,,
,,,,,,
,,,,,,
Modules before the placement test. ,,,,,,Day was very long. A lot to process all with only one break. Maybe implement some more breaks. 
,Could not pull my transcript up for my business course credit I have so I had to schedule normally as if I was not a CCP student...,,n/a,No.,The free time to walk around.,
,It’s very boring for students who have already been taking classes at the Kent campus. ,,Nothing,,My favorite part were the meals or free time to hang out with my friends in the evening.,
,,,,,,
,,,It was really on our own accord that we met each other. Nothing at DKS specifically pushed us all together. ,"I think the flashguide stories really helped normalize the college experience and brought the flashguides to the same level as the first year students. The flashguides helped destroy the social hierarchy by year that was the norm in high school. It was good to feel that they actually enjoyed our presence on a friend level rather than an ""upperclassmen"" level. Even though the flashguides were very involved, I think it would benefit incoming students even more to interact with them.  ",My favorite parts were making friends with a whole new group of people and the fun we had in the KIVA. Every activity that was hosted in the KIVA was so much fun and I loved it. The flashguides were extremely fun as well. ,Orientation was really really great. I was really worried about being able to navigate it without a parent figure there with me but the program made me feel really at easy with being on my own. 
,,,,,,
,,,,,,
theres not much you can prove. everyone just hates test and they hate them even more when they do aweful!,,,just being open,yes,I loved that we had freedom at the end of the night,
,,,,,,
,,,,,,
,,,,,,
Yes. Make section for each language selected that we'd want and if we had prior experience with language easier to understand. Specify if the language was taking in a school setting or at home or else where so people can take a test accordingly. ,I think check in should be at around 4p.m. and the advinmsing meeting should be around 1p.m. the following day that way it isbt too early in day so people are actually motivated to do there scheduling rather than just dredging through the morning wanting to go back to sleep.,,Nothing really. I'm not a social person.,I just think ot should be more personalized experience. Most of the information felt repetitive and didn't help me. Some of it helped a lot but most of it felt like I was just sitting there listening to watered downed versions of information I heard 20 mins ago.,Probably the advising meeting because I felt the most confident about becoming a college student and where my first semester was heading.,Everyone was nice I just don't do well around new people and there were a lot of new people so I never felt comfortable opening up.
,,,,,,
,,,,,,
No,,,,,,
,,,Maybe more activities that will encourage students to introduce and mingle with other students. This way students who are on the shyer side can get a chance to meet people without having to be the one initiate a conversation.,,The energy that I get from the flash guides and speakers was amazing and reassured me that I picked the right school. I’ve never felt more at home and secure than how I did at dks,
,We were told two different answers by my advisor vs. the advisor who spoke on day 1 regarding my math class.  Also there should be a time when parents are permitted to talk with advisors to answer any questions.  That seemed to be discouraged.,I would have liked to also have a more specific session that looked into majors & minors within my selected college.  ,I think it was good.,Various options of buying books  Study abroad options  ,The resource fair was helpful.  IT info was good.  Learning how much time I need to spend outside of class was super helpful.,"I appreciated the included meals, but truthfully the food wasn't good.  To me it was a convincing reason not to buy the dining plan.  Sorry"
,,,,,Meeting new people and seeing how satisfied the flashguides are with their experience at Kent was my favorite part.,
,I was not able to meet with the advisor for School of Music students. I was told he was unavailable and I would have liked to meet him. The other advisor who helped me was very kind and informative.,It was informative but there was not much information included that I hadn’t already found online.,I am outgoing and love meeting people.,Seeing more of the campus or discussing more major-specific topics.,Scheduling my classes because almost everything was included. I also enjoyed walking arounf campus in the evening and seeing the dorms.,I’m really excited to start this fall! Go Flashes!!
,,,,,,
,"It was nice to get my schedule and everything and I know with there being so many kids it is hard to have enough advisors at the time, however I met with a graduate student and not my actual academic advisor which I wish I would have gotten to meet with. I also didn’t get to meet my advisor for the Honors college.",,,,Meeting future classmates and getting my schedule.,
,,,,,,
Not really. I think it’s efficient in gauging the abilities of a student. ,"Nicole did a great job and really helped understand how the picking process worked. Her explanations, though fast, really made it easy for me to understand how my classes would be laid out this fall and possibly in the future. 6/5 stars. ",,"At first I was really nervous, but when Valla, one of the flashguides, made a point of how doing things that put you out of your comfort zone can lead to great things, I decided to really go out there and make the connections I wanted to make. So I guess just having that extra push was all I needed :)",The flash guide experiences are extremely insightful. Really having someone with perspective on how the university functions was fantastic. I think that a little more focus should be on those type of activities we did with the flash guides. ,I really loved the connections I made with other DKS attendees but I also loved how much information was provided on campus safety and just the general atmosphere Kent gave off. I was really scared I wasn’t going to like it but now I’m really ecstatic to be a Flash!,I didn’t get my name tag. That’s on me though. But that kinda sucked a little bit. 
Nope,,,"Not sure- just any of the events and activities at DKS were oppotunities to meet and connect with new people, if you made the effort to do so.",Nope- was pretty good to me,Probably walking downtown. It was really fun to be able to see whats all available near and on the campus along with getting to spend some time walking around and talking with my new-found friends.,N/a
,,,,,"I liked that flashguides stories and advice. I thought that they were extremely helpful, and also very personable. I think I would even like to be a flashguide one day.",
,,,Common interests,,Getting to meet everyone in your major,
no,Was a great time and learned a lot!,,,,,
,,,If we got to be with our specific college more than twice. ,"Put more of the guides in, they helped a lot with understanding the life of a college student. ",My favorite part was flashguide stories. It allowed us to connect with the guides on a deeper level. ,Try to lessen the amount of presentations. You lose your crowd after an hour. 
,,,,,,
Maybe allow students to review their answers before they are submitted.,,,,,,
,,,,,,
Security in the residence hall for our overnight...a girl I made friends with had a roommate that let a boy from the DKS experience into the room and they were having intercourse...she was texting us and was really uncomfortable. Where is the security for us in the residence halls?,The girl I had was brand new and was really nice! She was helpful but she couldn’t answer my questions about studying abroad or in the US. She said she didn’t know about those particular areas. ,,Knowing my roommate prior to the start of daily events...rooming with similar majors...having arranged buddies maybe,"Choosing classes...that was overwhelming and from the time it was discussed, I couldn’t stop thinking about it...we really didn’t get much time to process it and discuss it with our parents. You guys kept us too busy!   More time at our specific college!  I’d like to have my mom actually attend my advisor appt.",Being in the College of Arts and the evening tour of campus and downtown! I met some really great people! ,
,My academic advisor was great,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Be ready to do some math ,N/A,N/A,Starting a conversation ,N/A,Scheduling classes ,
,,,It would help if I wasnt so socially awkward,,Just being on campus and experiencing it mostly,
,,,,,,
,Learn more about the IB program.,,"If I stopped being a little too introverted all the time, I probably would have met more people.",,"Flashguides. I really loved all of them and they made the entire experience just the best, especially hearing their stories and getting to know them while they were guiding us every step of the way. <3 ",
,,,,,,
,Learning about the future paths of my major and what classes I would take throughout my years at Kent. ,The Flashguides were all very fun and inviting. They immediately made me feel at ease about my stay and I felt reassured that I would have a fun time. They were all very approachable even to just talk about ourselves and what was going on. I loved each and everyone of their stories and personalities and their connection to eachother showed me how connected the student body really is. I miss them already and loved being with them. I was able to talk to them very openly about anything and they could all answer my questions I had happily. I never felt bored or as if I was annoying them which was reassuring. ,Smaller group times ,Each of the flash guides stories. ,"My favorite experience was during the first set of presentations with just the students. All of the speakers were laid back, funny, and made it a low pressure environment. ",
Just take it before don’t wait last minute ,None i liked my academic advisor we connected great i thought ,Nothing,Tonhave nore people with my interest i didn’t really connect with my group we didn’t relate ,You should be able to go to the rec,Probably just the freedom ,
,"My advisor was amazing, however, the scheduling of classes was not needed for me. I couldn't choose my professors like I have the past 2 years. When I went to correct the schedule when I was home, it would only let me the night of the 2nd day of DKS and not the next day. ",I literally skipped everything after lunch on the 1st day because as a CCP student I have already been through everything before. ,If my roommate wasn't cleared to go home and if I wasn't left alone all evening and night. ,Different types of books or resources required for different classes. Not specific classes but how some classes require an access code and you have to buy the book new to receive that. New student may not know this. ,I felt it was unnecessary for me to attend as I've taken CCP classes for 2 years already and know about everything. I also live 10 minutes from campus and would've preferred sleeping in my own bed instead of being left alone all night because my roommate was cleared to leave campus and go home for the night. ,
,,,,"I think it would be really great if there was just a little more time spent on meeting peers and “icebreakers” at the very beginning of Day 1 - especially before lunch. I met a lot of people during my time at DKS, but many of the people I talked to said they were uncomfortable because they either came alone and did not meet anyone they could share the experience with, or they came with a friend and felt as though they only spent time with that other person. Giving incoming students a specific time or activity where they could meet at least one other person that they could then eat lunch with and share experiences with would greatly benefit everyone in the program and allow for less of the loneliness and uncertainty that comes with entering this new chapter of life. ","I really enjoyed all of the time spent talking with and hearing from the Flashguides, especially the Flashguide stories. That program specifically made me feel great about coming to Kent State. I’m very familiar with the academic challenges of college because of College Credit Plus, however I’m slightly nervous about the social aspect of college and finding my place. Listening to the Flashguides, especially Becki, made me feel so comfortable and helped me to understand that everyone goes through some sort of struggle when they first enter college. ",
no,no comment needed,Way too long! Should have been condensed!!,people in my major,NO! LESS TIME ON ALL OF IT!! It should have been only ONE day!!,no comment,My sister's college orientation at Univ of Toledo was 3/4 of one day. The extra time you spent on all this was not any more additional info. It was more like they were there filling the time slot.
,,,Meeting students who had similar interest in clubs and activities. ,,The in depth academic advising which answered all my questions.  ,
"With the placement test, there should be a calculator on the test. The tutorial said there was going to be one and there wasn’t. ",,,,Touring around campus. ,Meeting with my advisor and making my schedule. ,
"I didn’t like the fact that I never knew if I got something right or wrong. Sometimes it’s a confidence booster or a “get it together” type of notification once they tell you right after you submit it. Also I didn’t know how I should place the answer whether it was decimal form, faction form, should I put the ordered pair in parentheses etc. maybe if they could specify. ",Loved the fact that I didn’t feel rushed & how much knowledge (especially so specific to the fashion major) my academic Advisor knew— Emily. Could start session by reminding students that they have time & don’t rush (most things with guidance counselors have been rushed in the past during high school)     Shoutout to Emily— really a great advisor! ,,,,,
"Take the time to study and prepare because it might look easy, but it’s actuslly fairly difficult.",,,,,,
